,human,mouse,zebrafish,drosophila,c.elegans,ciliate,yeast,methanocaldococcus,thermococcus,e.coli,tuberculosis
setd2,0.0,0.0,0.0,1.29e-73,1.6e-48,1.18e-53,5.11e-54,0.45,0.72,0.063,0.43
h2a,0.0,0.0,0.0,1.23e-43,2.71e-45,3.44e-46,1.07e-45,1.0,1.0,1.18e-21,1.0
h2b,2.78e-88,1.95e-88,1.86e-83,2.75e-60,5.98e-66,4.62e-51,1.01e-60,1.0,1.0,1.0,1.0
h3,2.19e-96,1.54e-96,1.7699999999999998e-95,9.39e-96,4.46e-94,8.41e-86,3.31e-87,1.0,1.0,1.0,1.0
h4,1.0899999999999999e-67,7.599999999999999e-68,1.1299999999999999e-68,8.02e-68,6.15e-68,1.96e-45,1.08e-52,1.0,1.0,1.0,1.0
